Talbe 15-15 ATS                                                                                                                                                                                                           2017年 1月 4日 水曜日 14時05分23秒  10

OBS    Name            Sex     Age    Height    Weight

  1    アルフレッド    男子     14     69.0      112.5
  2    アリス          女子     13     56.5       84.0
  3    バーバラ        女子     13     65.3       98.0
  4    キャロル        女子     14     62.8      102.5
  5    ヘンリー        男子     14     63.5      102.5
  6    ジェームズ      男子     12     57.3       83.0
  7    ジェーン        女子     12     59.8       84.5
  8    ジャネット      女子     15     62.5      112.5
  9    ジェフリー      男子     13     62.5       84.0
 10    ジョン          男子     12     59.0       99.5
 11    ジョイス        女子     11     51.3       50.5
 12    ジュディー      女子     14     64.3       90.0
 13    ルイーズ        女子     12     56.3       77.0
 14    メアリー        女子     15     66.5      112.0
 15    フィリップ      男子     16     72.0      150.0
 16    ロバート        男子     12     64.8      128.0
 17    ロナルド        男子     15     67.0      133.0
 18    トーマス        男子     11     57.5       85.0
 19    ウィリアム      男子     15     66.5      112.0
